Dystans (m),Wysokość (m)
3527.5023190206252,8494.982421875
3542.772891830238,8489.0478515625
3558.043464639851,8485.146484375
3573.3140374494646,8482.58984375
3588.5846102590776,8476.4755859375
3603.8551830686906,8472.2138671875
3619.1257558783036,8469.8056640625
3634.396328687917,8461.3701171875
3649.66690149753,8453.1318359375
3664.937474307143,8447.1083984375
3680.208047116756,8443.2919921875
3695.4786199263694,8437.0166015625
3710.7491927359824,8433.408203125
3726.0197655455954,8427.494140625
3741.2903383552084,8420.01171875
3756.560911164822,8414.4736328125
3771.831483974435,8410.8779296875
3787.102056784048,8409.2265625
3802.372629593661,8404.8203125
3817.6432024032742,8399.4814453125
3832.9137752128872,8391.2236328125
3848.1843480225,8385.3154296875
3863.454920832113,8381.7578125
3878.7254936417266,8380.5498046875
3893.9960664513396,8381.6923828125
3909.2666392609526,8378.08203125
3924.5372120705656,8367.322265625
3939.8077848801786,8360.2685546875
3955.078357689792,8356.921875
3970.348930499405,8357.28125
3985.619503309018,8361.3466796875
4000.890076118631,8369.1181640625
4016.1606489282444,8367.5390625
4031.4312217378574,8363.4736328125
4046.7017945474704,8361.396484375
4061.9723673570834,8361.3095703125
4077.242940166697,8363.2099609375
4092.51351297631,8367.099609375
4107.784085785923,8368.802734375
4123.054658595536,8366.787109375
4138.325231405149,8363.298828125
4153.595804214762,8361.5732421875
4168.866377024376,8361.611328125
4184.136949833988,8363.4111328125
4199.407522643602,8360.5966796875
4214.678095453214,8351.4931640625
4229.948668262828,8340.4599609375
4245.219241072441,8327.556640625
4260.489813882054,8316.640625
4275.760386691667,8307.71484375
4291.03095950128,8300.2275390625
4306.301532310893,8292.611328125
4321.572105120506,8286.44140625
4336.842677930119,8280.8369140625
4352.113250739732,8275.255859375
4367.383823549346,8271.5283203125
4382.654396358958,8269.599609375
4397.924969168572,8264.7177734375
4413.195541978184,8260.78515625
4428.466114787798,8257.8017578125
4443.736687597411,8253.7783203125
4459.007260407024,8244.58203125
4474.277833216637,8237.103515625
4489.548406026251,8225.66796875
4504.818978835863,8213.75
4520.089551645477,8202.7802734375
4535.360124455089,8192.759765625
4550.630697264703,8183.67626953125
4565.901270074316,8176.412109375
4581.171842883929,8171.40966796875
4596.442415693542,8167.52587890625
4611.712988503155,8164.72705078125
4626.983561312768,8163.0126953125
4642.254134122381,8162.38330078125
4657.524706931994,8162.75634765625
4672.795279741607,8154.95703125
4688.065852551221,8143.763671875
4703.336425360833,8132.34423828125
4718.606998170447,8120.69873046875
4733.87757098006,8108.8271484375
4749.148143789673,8096.72998046875
4764.418716599286,8084.9638671875
4779.689289408899,8074.736328125
4794.959862218512,8065.09375
4810.230435028126,8056.35498046875
4825.501007837738,8048.5205078125
4840.771580647352,8041.58984375
4856.042153456965,8035.5634765625
4871.312726266578,8030.322265625
4886.583299076191,8021.6435546875
4901.8538718858035,8012.4384765625
4917.124444695417,8003.77587890625
4932.39501750503,7995.6552734375
4947.665590314643,7988.07763671875
4962.936163124256,7980.64404296875
4978.206735933869,7973.90185546875
4993.477308743482,7963.4482421875
5008.747881553096,7951.60107421875
5024.018454362708,7940.52197265625
5039.289027172322,7930.21142578125
5054.559599981935,7920.9375
5069.830172791548,7912.6904296875
5085.100745601161,7905.12109375
5100.371318410774,7893.7890625
5115.641891220387,7878.5400390625
5130.912464030001,7862.38671875
5146.183036839613,7845.87158203125
5161.453609649227,7832.29443359375
5176.72418245884,7821.11279296875
5191.9947552684525,7812.3271484375
5207.265328078066,7807.1962890625
5222.5359008876785,7803.83203125
5237.806473697292,7799.96142578125
5253.077046506905,7794.837890625
5268.347619316518,7790.16650390625
5283.618192126131,7785.947265625
5298.888764935745,7782.18017578125
5314.159337745357,7779.404296875
5329.429910554971,7778.08837890625
5344.700483364583,7777.26708984375
5359.971056174197,7776.82861328125
5375.24162898381,7776.751953125
5390.512201793423,7777.037109375
5405.782774603036,7777.68408203125
5421.053347412649,7778.34716796875
5436.323920222262,7777.08447265625
5451.594493031876,7775.02880859375
5466.865065841488,7772.88232421875
5482.1356386511015,7770.64599609375
5497.406211460715,7768.3193359375
5512.6767842703275,7765.90185546875
5527.947357079941,7762.705078125
