Dystans (m),Wysokość (m)
91314.04775591561,1001.074462890625
91899.39421588944,994.9053344726562
92484.74067586324,994.649658203125
93070.08713583706,985.55712890625
93655.43359581089,984.0912475585938
94240.7800557847,974.8569946289062
94826.12651575851,965.8599243164062
95411.47297573234,959.3560180664062
95996.81943570616,954.8489990234375
96582.16589567997,951.4535522460938
97167.51235565379,944.3040771484375
97752.85881562761,939.1085815429688
98338.20527560143,934.4392700195312
98923.55173557524,928.01708984375
99508.89819554906,922.9044799804688
100094.24465552288,916.66455078125
100679.5911154967,909.10205078125
101264.93757547051,902.671630859375
101850.28403544433,899.7977294921875
102435.63049541815,896.1278686523438
103020.97695539198,891.1640014648438
103606.32341536578,885.04931640625
104191.6698753396,881.1355590820312
104777.01633531343,875.7842407226562
105362.36279528725,869.834716796875
105947.70925526106,865.1463012695312
106533.05571523488,859.722900390625
107118.4021752087,855.6361694335938
107703.74863518252,851.933837890625
108289.09509515633,848.7202758789062
108874.44155513015,845.8804321289062
109459.78801510397,843.6029663085938
110045.1344750778,838.6298828125
110630.4809350516,834.8610229492188
111215.82739502542,829.6241455078125
111801.17385499924,826.40625
112386.52031497305,823.7702026367188
112971.86677494687,820.8580322265625
113557.2132349207,818.326904296875
114142.55969489452,813.550537109375
114727.90615486832,811.9862060546875
115313.25261484215,810.5352172851562
115898.59907481597,803.1793823242188
116483.94553478979,798.9890747070312
117069.2919947636,794.4801635742188
117654.63845473742,788.7150268554688
118239.98491471124,785.9697875976562
118825.33137468506,785.3756103515625
119410.67783465887,784.5007934570312
119996.02429463269,785.0363159179688
120581.37075460651,789.7100830078125
121166.71721458033,790.62109375
121752.06367455414,789.5676879882812
122337.41013452796,791.2222900390625
122922.75659450179,791.875732421875
123508.1030544756,789.6107177734375
124093.44951444941,787.9427490234375
124678.79597442324,786.4957275390625
125264.14243439706,784.2355346679688
125849.48889437088,783.693359375
126434.83535434469,776.1719360351562
127020.18181431851,775.7898559570312
127605.52827429233,777.5125122070312
128190.87473426615,779.7754516601562
128776.22119423996,782.6859130859375
129361.56765421378,787.7449340820312
129946.9141141876,793.1675415039062
130532.26057416142,796.4389038085938
131117.60703413523,798.3217163085938
131702.95349410904,800.7132568359375
132288.29995408288,803.3179931640625
132873.64641405668,805.426513671875
133458.99287403052,806.9708862304688
134044.33933400433,808.182861328125
134629.68579397813,809.1685180664062
135215.03225395197,810.9473876953125
135800.37871392578,812.287353515625
136385.72517389958,812.841796875
136971.07163387342,812.2453002929688
137556.41809384723,812.2293701171875
138141.76455382106,810.7919921875
138727.11101379487,805.3991088867188
139312.45747376868,800.5952758789062
139897.8039337425,795.9959716796875
140483.15039371632,791.1204223632812
141068.49685369013,786.9612426757812
141653.84331366397,782.936767578125
142239.18977363777,778.9074096679688
142824.5362336116,774.8175048828125
143409.88269358542,770.287353515625
143995.22915355922,766.3760375976562
144580.57561353306,761.7308349609375
145165.92207350687,757.9563598632812
145751.26853348067,753.5603637695312
146336.6149934545,748.4354248046875
146921.96145342832,743.9410400390625
147507.30791340215,739.3865356445312
148092.65437337596,735.577880859375
148678.00083334977,731.3304443359375
149263.3472933236,726.6470336914062
149848.6937532974,723.2808837890625
150434.04021327122,717.53076171875
151019.38667324506,715.0977172851562
151604.73313321886,711.0807495117188
152190.07959319267,706.8822021484375
152775.4260531665,703.45703125
153360.7725131403,700.4203491210938
153946.11897311415,696.6658325195312
154531.46543308796,694.0331420898438
155116.81189306176,691.8621826171875
155702.1583530356,689.7113037109375
156287.5048130094,688.1574096679688
156872.85127298321,685.5332641601562
157458.19773295705,684.129150390625
158043.54419293086,682.5055541992188
158628.8906529047,680.0503540039062
159214.2371128785,678.88818359375
159799.5835728523,680.14013671875
160384.93003282615,676.3314208984375
160970.27649279995,672.7062377929688
161555.62295277376,668.3302612304688
162140.9694127476,666.26416015625
162726.3158727214,664.735107421875
163311.66233269524,662.1453857421875
163897.00879266905,660.0413818359375
164482.35525264285,654.8582763671875
165067.7017126167,651.8133544921875
165653.0481725905,646.148681640625
